year,g
1960-01-01,1529543946586.3408
1961-01-01,1250659235502.3489
1962-01-01,1020101110730.9856
1963-01-01,800131824332.8408
1964-01-01,614226592311.3018
1965-01-01,423611508828.3425
1966-01-01,228258246472.18115
1967-01-01,-11284043396.289062
1968-01-01,-226328843153.01807
1969-01-01,-390721542361.396
1970-01-01,-577481953416.1113
1971-01-01,-737203007328.7622
1972-01-01,-736714642818.3501
1973-01-01,-443116150234.11523
1974-01-01,-310510327122.1094
1975-01-01,-318239079245.9658
1976-01-01,-451910571267.7051
1977-01-01,-304829169184.35547
1978-01-01,268143123231.87695
1979-01-01,878072442107.2812
1980-01-01,1314121260452.0977
1981-01-01,844734171158.2168
1982-01-01,-177830229456.27344
1983-01-01,-909056728750.166
1984-01-01,-1493391828659.1074
1985-01-01,-1952616523791.037
1986-01-01,-756949673514.7598
1987-01-01,139043714471.20312
1988-01-01,939128370011.832
1989-01-01,483079617717.16797
1990-01-01,1666261107424.8086
1991-01-01,1593421643355.9883
1992-01-01,1607988676566.5273
1993-01-01,479903607115.71484
1994-01-01,794782889927.8867
1995-01-01,2243847100522.4727
1996-01-01,1189408393588.086
1997-01-01,-745006021626.6758
1998-01-01,-2714891050740.2812
1999-01-01,-3542593761183.301
2000-01-01,-4575492099218.148
2001-01-01,-6960105849783.375
2002-01-01,-7968088839763.0
2003-01-01,-6114683482736.492
2004-01-01,-3653404206648.9375
2005-01-01,-2535260862008.328
2006-01-01,-1136712498505.3438
2007-01-01,2772574376316.0547
2008-01-01,5780395768033.75
2009-01-01,-138381069384.92188
2010-01-01,2951328343213.3516
2011-01-01,7685932336628.484
2012-01-01,6824937642445.141
2013-01-01,6460951804323.422
2014-01-01,6125435337444.969
2015-01-01,-538235426811.5156
2016-01-01,-1776443723139.7188
2017-01-01,804448897140.1719
2018-01-01,3610856574927.703
2019-01-01,2667428302041.5938
2020-01-01,-4437884272141.031
2021-01-01,-4510956746466.359
2022-01-01,-4846433741186.578
