year,f,g,p,o
1960-01-01,11.510025246846864,1369443925011.8877,3031437768.0,3.045939189688585
1961-01-01,11.510025246846864,1425115081577.838,3072481005.0,2.992537479152562
1962-01-01,11.510025246846864,1530068789423.0332,3125456669.0,3.038067879993273
1963-01-01,10.703258853468252,1648304927596.869,3190564033.0,3.14170616183947
1964-01-01,10.517352752597937,1805673902285.7444,3256064763.0,3.241921417566755
1965-01-01,9.993603247587965,1966277080224.8535,3322973362.0,3.347493786382453
1966-01-01,9.300236928083176,2133345298195.828,3393031785.0,3.446686643911553
1967-01-01,9.636629126305168,2270951628945.993,3462460219.0,3.49721984471521
1968-01-01,9.16726939257374,2451449172889.8755,3532826862.0,3.613557734462231
1969-01-01,8.532394513015943,2704652070727.44,3607499982.0,3.7789266675442414
1970-01-01,9.025196880085888,2961058584800.383,3682911028.0,4.04474072501252
1971-01-01,10.50701892993309,3273349657869.514,3760508998.0,4.127531061055018
1972-01-01,10.234134264597646,3777608298767.357,3836892582.0,4.240079262473561
1973-01-01,10.850182786932516,4609187412816.616,3912347620.0,4.3830282153892535
1974-01-01,19.326042769061853,5315975951491.422,3988478320.0,4.294758337906477
1975-01-01,19.12139734991881,5920346810454.428,4062864564.0,4.234827178069287
1976-01-01,20.380029629273075,6438212557515.45,4135417984.0,4.381873279241207
1977-01-01,19.799114249554613,7277590659724.765,4207766702.0,4.446052745811806
1978-01-01,17.4906151473026,8584658502250.429,4281312777.0,4.537670435937366
1979-01-01,20.03900811379757,9971331091928.256,4356746042.0,4.57957989047467
1980-01-01,24.02952452522621,11227787361930.027,4432925600.0,4.4868376759263215
1981-01-01,24.885632155408956,11624037160585.486,4511137165.0,4.297128323047381
1982-01-01,23.157431536060205,11514725665438.355,4592341186.0,4.207654757923766
1983-01-01,21.12664334691248,11747282629212.45,4674266073.0,4.179469024209344
1984-01-01,17.810799589063674,12180064946161.32,4755914191.0,4.231011114164315
1985-01-01,16.517944399920196,12793526857410.762,4839074591.0,4.317935867674707
1986-01-01,10.631316218461343,15118751369432.783,4924736801.0,4.302107213127075
1987-01-01,10.235317058486004,17201254955042.312,5012555212.0,4.350431447887891
1988-01-01,13.798844316482803,19244410731051.832,5101297271.0,4.451211518165279
1989-01-01,12.461525892289181,20087689311360.426,5189996794.0,4.452142260307114
1990-01-01,12.049900857064554,22626736590325.984,5280076280.0,4.24647152584157
1991-01-01,11.034007271965216,23966885541451.105,5368065405.0,4.2298651762631
1992-01-01,9.409939252533135,25453189198265.13,5452349928.0,3.951175346949837
1993-01-01,8.966395637158543,25858210431827.957,5537511535.0,3.9330816128886257
1994-01-01,7.848928554664711,27771192160987.41,5621787188.0,3.887214582657022
1995-01-01,7.45451478055603,30887281364940.832,5706689093.0,3.9025656023499073
1996-01-01,8.620413056102807,31573213341360.984,5789623830.0,3.9552842962798462
1997-01-01,8.841775967601743,31458340846918.44,5872254371.0,3.9144952258987
1998-01-01,6.847900596393616,31393737903662.71,5954005533.0,3.837039308050213
1999-01-01,7.598789484411886,32563160743067.684,6034491778.0,3.8476203673107903
2000-01-01,10.538325226870192,33623637910868.703,6114332537.0,3.911820634989078
2001-01-01,10.06641407202862,33430841993024.234,6193671774.0,3.891316194821405
2002-01-01,9.614429390101948,34712451850985.258,6272752973.0,3.9271465593848425
2003-01-01,10.345467232035986,38948207693351.21,6351882363.0,4.076513630664276
2004-01-01,11.292333206227736,43874597658831.05,6431551642.0,4.214635230092719
2005-01-01,13.565174302291124,47526792786394.1,6511748367.0,4.306657644643731
2006-01-01,14.480292701330496,51512231538197.84,6592734537.0,4.402038304134496
2007-01-01,14.043456084380072,58043560380507.73,6674203645.0,4.421974360455868
2008-01-01,17.347665553074652,63690177847399.484,6756917893.0,4.540628805495845
2009-01-01,14.215148691732407,60410286580323.49,6839574286.0,4.373929011649251
2010-01-01,15.03542864466023,66125919193271.13,6921871603.0,4.612594100918191
2011-01-01,17.244921424294102,73460345663712.03,7002860245.0,4.72532111934972
2012-01-01,17.931790837312874,75161778950115.11,7085762277.0,4.753702640485959
2013-01-01,17.133516023131754,77316336530735.08,7169638368.0,4.721057194479698
2014-01-01,15.948512350494983,79453254441374.72,7254226881.0,4.701147819080178
2015-01-01,11.331595239663256,75217722628911.6,7338964954.0,4.638347713657188
2016-01-01,9.69929023756444,76368999871236.73,7424286143.0,4.555239454561029
2017-01-01,11.266807252505124,81306030232472.92,7509074479.0,4.6539480454445235
2018-01-01,12.952516304259136,86439423191635.81,7591945270.5,4.631578329099465
2019-01-01,12.334776473039472,87798525859220.94,7673533974.0,4.596793584109109
2020-01-01,9.170044276699254,82978244788641.61,7820963775.0,4.555239454561029
2021-01-01,11.511183117791028,85181326427776.56,7888161297.0,4.609389853303531
2022-01-01,16.32387913801728,87118974525428.38,7951149546.0,4.594537122589867
